경기일	홈팀	점수	원정팀	점수
2019-01-01	롯데 자이언츠	9	한화 이글스	5
2019-01-05	두산 베어스	1	롯데 자이언츠	3
2019-01-10	삼성 라이온즈	1	LG 트윈스	4
2019-01-12	KIA 타이거즈	2	SK 와이번스	1
2019-01-22	NC 다이노스	0	KT 위즈	0
2019-02-01	두산 베어스	9	NC 다이노스	4
2019-02-01	KIA 타이거즈	6	LG 트윈스	5
2019-02-01	SK 와이번스	0	롯데 자이언츠	0
2019-02-02	KT 위즈	6	롯데 자이언츠	2
2019-02-04	LG 트윈스	2	NC 다이노스	5
2019-02-05	KT 위즈	2	KIA 타이거즈	0
2019-02-06	넥센 히어로즈	6	롯데 자이언츠	3
2019-02-07	두산 베어스	5	롯데 자이언츠	0
2019-02-07	NC 다이노스	2	삼성 라이온즈	7
2019-02-07	한화 이글스	4	LG 트윈스	7
2019-02-08	넥센 히어로즈	3	롯데 자이언츠	2
2019-02-08	KIA 타이거즈	9	LG 트윈스	4
2019-02-09	KIA 타이거즈	2	롯데 자이언츠	1
2019-02-09	LG 트윈스	8	NC 다이노스	4
2019-02-10	두산 베어스	6	SK 와이번스	10
2019-02-10	NC 다이노스	3	삼성 라이온즈	2
2019-02-11	삼성 라이온즈	7	한화 이글스	2
2019-02-11	NC 다이노스	9	KT 위즈	6
2019-02-12	KIA 타이거즈	0	LG 트윈스	3
2019-02-12	NC 다이노스	8	한화 이글스	7
2019-02-13	LG 트윈스	8	KIA 타이거즈	5
2019-02-15	KT 위즈	7	삼성 라이온즈	5
2019-02-15	KIA 타이거즈	3	넥센 히어로즈	0
2019-02-15	LG 트윈스	7	한화 이글스	6
2019-02-16	KT 위즈	6	넥센 히어로즈	4
2019-02-16	LG 트윈스	1	두산 베어스	3
2019-02-16	KIA 타이거즈	5	한화 이글스	0
2019-02-17	넥센 히어로즈	5	한화 이글스	3
2019-02-18	두산 베어스	7	LG 트윈스	0
2019-02-18	KT 위즈	3	SK 와이번스	3
2019-02-19	삼성 라이온즈	3	롯데 자이언츠	7
