번호	제목	시작시간	끝시간	주최자	참석자	불참석자	미정	카테고리	설명
1	동창회	2020-09-03	2020-09-03	1	1,2	3		모임	중학교 2학년 동창회
2	운동	2020-09-04	2020-09-05	2	2			운동	매일 다이어트운동
3	여가시간	2020-09-05	2020-09-06	4	4	3		게임	주말마다 게임같이하자
4	식사약속	2020-04-22	2020-04-22	1	1		2,3	식사	t식사
5	미팅	2020-04-22	2020-04-23	1	1			기타	
6	스터디	2020-04-22	2020-04-24	1	1			공부	하이하이
7	카페	2020-09-21	2020-09-21	1	1,2			식사	친구와의 만남
8	영화	2020-09-30	2020-09-30	4	1,2,3,4			모임	가족끼리의 영화
9	미팅	2020-10-04	2020-10-04	1	1,2			모임	사업적 미팅
10	캠핑	2020-10-25	2020-10-28	1	1,3	1		모임	친구들과의 캠핑
11	여행	2020-10-30	2020-11-03	1	1			기타	
12	소개팅	2020-11-19	2020-11-19	1	1,2,3			모임	친구의 주선 소개팅
13	운동클럽	2020-11-21	2020-11-21	1	1,2,3,4			운동	축구 운동회
14	스터디	2020-11-24	2020-11-24	1	1			공부	
15	연말파티	2020-11-30	2020-11-30	1	1,2,4	3		모임	대학 동창들과
16	운동	2020-11-24	2020-11-24	2	2			운동	
17	카페	2020-11-30	2020-11-30	3	3			식사	
18	여가시간	2020-08-15	2020-08-18	2	2,3		1	게임	
19	식사약속	2020-08-20	2020-08-24	1	1	2		식사	
20	헬스클럽	2020-08-20	2020-08-25	3	3,4			운동	
21	여가시간	2020-08-28	2020-09-01	1	1			게임	메이플
22	미팅	2020-08-31	2020-09-03	2	2	3		기타	
23	도서관	2020-09-03	2020-09-04	2	1,2		3	공부	
24	뷔페	2020-09-06	2020-09-06	3	3	1		식사	맛있는 애슐리
25	피트니스	2020-09-05	2020-09-05	3	3	2		운동	
26	스터디	2020-09-07	2020-09-08	3	3			공부	
27	식사약속	2020-10-21	2020-10-25	2	2	3		식사	
28	독서	2020-10-25	2020-10-29	4	2,4		3	기타	
29	여가시간	2020-10-30	2020-10-31	1	1		2	게임	
30	영화	2020-08-01	2020-08-01	2	2			기타	살아있다 관람
31	동호회	2020-08-02	2020-08-02	4	4	1	3	운동	배드민턴 동호회
32	여행	2020-08-03	2020-08-05	4	4			기타	집 옥상에서 소소한 캠핑
33	메이플스토리	2020-08-09	2020-08-09	1	1			게임	
34	데이트	2020-08-12	2020-08-12	2	2			기타	
35	가족회의	2020-09-07	2020-09-07	4	4			모임	가족회의
36	제사	2020-09-21	2020-09-21	5	5	2	1	모임	할아버지 제사
37	컴퓨터 조립	2020-09-23	2020-09-23	2	2			기타	컴퓨터 구입 후 조립
38	마스크 구입	2020-10-02	2020-10-02	1	1			기타	인터넷 검색 후 구입
39	알고리즘 풀기	2020-10-05	2020-10-05	1	1			공부	
40	어머니 생신	2020-10-17	2020-10-17	4	4			모임	
41	가족식사	2020-11-05	2020-11-05	3	3			식사	뷔페식사
42	헬창클럽	2020-08-10	2020-08-14	1	1,4	2		운동	같이 헬스하실?
43	메철롤	2020-08-24	2020-08-24	4	4		1,2	게임	메이플하자
44	식사오육칠	2020-09-09	2020-09-13	1	1,4,5			식사	밥좀먹고 살자
45	아그작아그작	2020-10-19	2020-10-20	2	2,3	1		식사	
46	스터디	2020-09-30	2020-10-03	3	2,3	4,5		공부	
47	월간모임	2020-11-12	2020-11-15	5	5			모임	
48	격주모임	2020-08-19	2020-08-19	6	1,2,6		4	모임	
49	트수지지	2020-09-01	2020-09-03	3	1,3	5		게임	
50	기타연습	2020-10-23	2020-10-26	1	1,3,5		2	기타	
51	밴드부	2020-09-07	2020-09-07	7	7,8	3		모임	
52	뱅드림	2020-10-27	2020-10-27	4	4			기타	
53	클오클	2020-10-15	2020-10-17	5	4,5	1	2	게임	게임좀 하자
54	매운 잠뽕 도전	2020-11-16	2020-11-16	6	1,6,5		3,7	식사	
55	휴가여행	2020-09-15	2020-09-20	8	1,5,7,8	9		모임	각오는?
56	미팅	2020-11-23	2020-11-23	7	7			회의	
57	술자리	2020-09-05	2020-09-05	2	8,2,4,5	1		모임	
58	만렙 가능	2020-10-25	2020-10-25	2	2			게임	
59	소고기	2020-08-03	2020-08-03	9	9			식사	
60	게임 대회	2020-10-03	2020-10-06	9	5,6,9			게임	1등? 700만원 가져오자
61	수면 캡술	2020-10-28	2020-10-28	5	5			기타	
62	스터디	2020-09-28	2020-09-28	5	2,3,4,5			공부	오랜만에
63	지방 친구 만나기	2020-10-15	2020-10-18	6	2,6		3	모임	지방 친구한테 놀러가기
64	여가시간	2020-11-01	2020-11-01	7	7			기타	
65	부모님과 식사	2020-08-07	2020-08-07	8	8			모임	
66	헬스	2020-07-05	2020-07-29	7	1,7,8,9		2	운동	작심삼일?
