구매번호	구매일자	회원코드	회원아이디	상품코드	가격	수량	합계	배달지
1	2020-03-01	A001	tjsdyd64	A001	3900	3	11700	A03
2	2020-03-01	A001	tjsdyd64	A007	3800	5	19000	A03
3	2020-03-02	B001	alswl37	A005	2800	5	14000	B05
4	2020-03-04	B001	alswl37	A006	2800	5	14000	B05
5	2020-03-07	B003	tkdals69	C001	27800	5	139000	B08
6	2020-03-08	A001	tjsdyd64	D006	10125	5	50625	A03
7	2020-03-08	E002	tjdgml79	E005	5900	9	53100	E04
8	2020-03-08	A001	tjsdyd64	E004	2300	8	18400	A03
9	2020-03-13	B001	alswl37	A004	7500	10	75000	B05
10	2020-03-14	D001	tndus67	B002	1980	20	39600	D01
11	2020-03-16	D001	tndus67	D001	14900	1	14900	D01
12	2020-03-19	B001	alswl37	C004	11800	3	35400	B05
13	2020-03-21	B001	alswl37	C005	6630	2	13260	B05
14	2020-03-21	B001	alswl37	C006	12000	1	12000	B05
15	2020-03-25	B001	alswl37	D005	650	10	6500	B05
16	2020-03-25	F003	tjdgus69	C002	12000	5	60000	 F02 
17	2020-03-25	B003	tkdals69	C007	11500	5	57500	B08
18	2020-03-26	B003	tkdals69	D001	14900	5	74500	B08
19	2020-03-26	C001	cogus78	E002	2000	30	60000	C08
20	2020-03-26	C003	tnals68	B002	1980	100	198000	C05
21	2020-03-27	E002	tjdgml79	E003	4060	12	48720	E04
22	2020-03-27	E002	tjdgml79	E004	2300	5	11500	E04
23	2020-03-28	D001	tndus67	D002	8075	5	40375	D01
24	2020-03-28	D002	dudwk46	A002	5300	12	63600	D07
25	2020-03-29	D002	dudwk46	A003	2900	34	98600	D07
26	2020-03-29	E001	rlffyd46	A004	7500	5	37500	E06
27	2020-03-29	A001	tjsdyd64	D002	8075	5	40375	A03
28	2020-03-29	A001	tjsdyd64	D005	650	15	9750	A03
29	2020-03-30	A001	tjsdyd64	C004	11800	6	70800	A03
30	2020-03-30	F001	tjrwls47	B006	2980	12	35760	F08
31	2020-03-31	F002	xoghks16	C001	27800	1	27800	F01
32	2020-04-01	A001	tjsdyd64	E003	4060	3	12180	A03
33	2020-03-28	D002	dudwk46	A004	5300	12	63600	D07
34	2020-03-16	D001	tndus67	D001	14900	1	14900	D01
35	2020-03-28	H002	alsrb123	A001	3900	3	11700	H03
36	2020-03-28	I001	alstjrwhk04	D005	650	15	9750	I03
37	2020-03-16	H002	alsrb123	C001	27800	1	27800	H03
38	2020-03-28	I001	alstjrwhk04	A001	3900	3	11700	I03
39	2020-03-16	I001	alstjrwhk04	C001	27800	1	27800	I03
